Date,Open,High,Low,Close,Volume
2017-06-26,43516,45281,43516,44565,232420
2017-06-27,44422,44756,43182,43182,581260
2017-06-28,44048,44530,43808,44337,685200
2017-06-29,44337,46214,44241,44530,396020
2017-06-30,44626,45492,44626,45059,110000
2017-07-03,45444,45974,45059,45252,213040
2017-07-04,45252,45444,44915,45252,303620
2017-07-05,45733,47659,45492,47129,676520
2017-07-06,47129,47177,45974,46166,432060
2017-07-07,46166,46937,46166,46696,173720
2017-07-10,46696,46840,45829,46455,327480
2017-07-11,46455,46455,44289,45733,506140
2017-07-12,45733,46648,45492,45878,501580
2017-07-13,46359,46359,45781,46311,278920
2017-07-14,46359,46359,45733,46214,112540
2017-07-17,46118,46311,45589,45878,223300
2017-07-18,46070,48140,45829,46985,1082800
2017-07-19,47177,47899,46455,46648,726060
2017-07-20,46648,47899,46263,47274,1343200
2017-07-21,47081,47562,46937,47129,954780
2017-07-24,47129,47129,46311,46455,641280
2017-07-25,45781,46455,45492,46118,671340
2017-07-26,46118,46407,45878,45878,673840
2017-07-27,45878,46503,45155,46455,1074780
2017-07-28,46600,46840,46166,46455,576160
2017-07-31,46455,46600,46070,46214,391180
2017-08-01,46214,46455,45878,46455,266280
2017-08-02,46311,46648,46263,46552,422540
2017-08-03,47177,48140,47177,47322,1140140
2017-08-04,47418,50451,47177,49103,1940380
2017-08-07,49536,51462,49488,50066,685460
2017-08-08,50066,50066,49103,49103,485580
2017-08-09,49103,49584,48862,49055,617360
2017-08-10,49055,49584,49007,49103,590300
2017-08-11,49103,49488,49007,49007,734480
2017-08-14,49199,50258,49007,49825,375740
2017-08-15,49825,50018,49247,49584,207460
2017-08-16,50210,50306,48862,49055,907100
2017-08-17,49247,49247,47177,47659,1314660
2017-08-18,47226,48622,47226,47659,990100
2017-08-21,47659,47659,45829,46070,1147020
2017-08-22,46070,46455,45540,46022,1141200
2017-08-23,46022,47274,45878,47177,744380
2017-08-24,47274,47274,46455,46840,223520
2017-08-25,46840,47177,46552,46840,378740
2017-08-28,46696,46937,46118,46214,465640
2017-08-29,45974,46696,45974,46166,394820
2017-08-30,46359,47081,46214,46600,271840
2017-08-31,46696,47177,46503,46840,587500
