Date,Open,High,Low,Close,Volume,Currency
2016-08-11,14528.3,14704.2,14493.2,14704.2,1351300,VND
2016-08-12,14774.6,14915.3,14598.7,14633.9,1218204,VND
2016-08-15,14633.9,14669.0,14598.7,14633.9,649250,VND
2016-08-16,14774.6,15126.4,14633.9,15020.8,4464247,VND
2016-08-17,15020.8,15302.2,14950.5,15196.7,3127284,VND
2016-08-18,15196.7,15478.1,15126.4,15161.5,2410482,VND
2016-08-19,15231.9,15231.9,14915.3,14915.3,1529439,VND
2016-08-22,15131.5,15167.5,14951.3,14951.3,2180490,VND
2016-08-23,15059.4,15095.4,14915.3,15023.4,1024066,VND
2016-08-24,15059.4,15275.6,15059.4,15131.5,1729741,VND
2016-08-25,15167.5,15311.6,15095.4,15275.6,1388170,VND
2016-08-26,15275.6,15635.8,15275.6,15491.7,5119338,VND
2016-08-29,15563.8,15671.9,15347.6,15347.6,2300172,VND
2016-08-30,15311.6,15455.7,15311.6,15347.6,1223283,VND
2016-08-31,15455.7,15996.1,15383.6,15816.0,7365972,VND
2016-09-01,15960.1,16212.3,15852.0,16032.1,4954128,VND
2016-09-05,16032.1,16140.2,15888.0,16032.1,2227587,VND
2016-09-06,15996.1,16140.2,15924.1,15924.1,3198415,VND
2016-09-07,15888.0,15888.0,15671.9,15888.0,3076216,VND
2016-09-08,15996.1,16644.6,15924.1,16428.4,7488194,VND
2016-09-09,16572.5,16752.7,16392.4,16464.5,4233932,VND
2016-09-12,16392.4,16428.4,16176.2,16212.3,2817111,VND
2016-09-13,16212.3,16338.4,16032.1,16284.3,2658666,VND
2016-09-14,16266.3,16554.5,16212.3,16392.4,2962259,VND
2016-09-15,16392.4,16392.4,16032.1,16140.2,2565880,VND
2016-09-16,16032.1,16212.3,15996.1,16212.3,1974947,VND
2016-09-19,16356.4,16392.4,16140.2,16320.4,2180559,VND
2016-09-20,16392.4,16536.5,16284.3,16446.5,3173458,VND
2016-09-21,16464.5,16536.5,16356.4,16392.4,2013641,VND
2016-09-22,16392.4,17076.9,16392.4,16788.7,6514527,VND
2016-09-23,16860.8,17149.0,16860.8,17076.9,5381975,VND
2016-09-26,17149.0,17365.1,17149.0,17221.0,4475906,VND
2016-09-27,17203.0,17221.0,17040.9,17221.0,4643725,VND
2016-09-28,17167.0,17473.2,17149.0,17257.1,3868628,VND
2016-09-29,17149.0,17293.1,16968.8,17058.9,4352091,VND
2016-09-30,17076.9,17076.9,16806.7,16806.7,3984270,VND
2016-10-03,16824.7,17004.9,16680.6,16806.7,2455686,VND
2016-10-04,16896.8,17058.9,16572.5,16860.8,4491051,VND
2016-10-05,16932.8,16932.8,16806.7,16860.8,1114082,VND
2016-10-06,16860.8,16914.8,16608.6,16608.6,1867154,VND
2016-10-07,16626.6,16680.6,16104.2,16230.3,6133062,VND
2016-10-10,16230.3,16230.3,15707.9,15707.9,4861619,VND
2016-10-11,15707.9,16032.1,15545.8,16032.1,3638798,VND
2016-10-12,15996.1,16068.2,15743.9,15779.9,1701621,VND
2016-10-13,15743.9,15924.1,15635.8,15852.0,1051863,VND
2016-10-14,15816.0,15888.0,15779.9,15798.0,1283909,VND
2016-10-17,15816.0,15816.0,15635.8,15635.8,1845960,VND
2016-10-18,15635.8,15798.0,15491.7,15707.9,1064468,VND
2016-10-19,15671.9,15906.0,15671.9,15798.0,1119000,VND
2016-10-20,15888.0,15924.1,15653.9,15671.9,1043898,VND
2016-10-21,15671.9,15761.9,15635.8,15635.8,849668,VND
2016-10-24,15635.8,15707.9,15527.8,15563.8,1578683,VND
2016-10-25,15563.8,15816.0,15419.7,15563.8,1844160,VND
2016-10-26,15563.8,15707.9,15455.7,15491.7,1150536,VND
2016-10-27,15599.8,15599.8,15491.7,15563.8,740559,VND
2016-10-28,15563.8,15707.9,15545.8,15707.9,1438869,VND
2016-10-31,15743.9,15816.0,15671.9,15671.9,845212,VND
2016-11-01,15707.9,15707.9,15599.8,15599.8,664857,VND
2016-11-02,15599.8,15635.8,15347.6,15347.6,1402461,VND
2016-11-03,15311.6,15311.6,15023.4,15131.5,1891649,VND
2016-11-04,15131.5,15275.6,15131.5,15185.5,498862,VND
2016-11-07,15167.5,15455.7,15167.5,15419.7,624316,VND
2016-11-08,15419.7,15581.8,15419.7,15437.7,826211,VND
2016-11-09,15437.7,15437.7,14807.2,15203.5,2908489,VND
2016-11-10,15347.6,15455.7,15311.6,15383.6,644610,VND
2016-11-11,15455.7,15653.9,15419.7,15491.7,1268026,VND
2016-11-14,15383.6,15491.7,15347.6,15401.7,825357,VND
2016-11-15,15419.7,15563.8,15383.6,15563.8,946587,VND
2016-11-16,15599.8,15635.8,15419.7,15509.7,1116714,VND
2016-11-17,15509.7,15509.7,15347.6,15347.6,790473,VND
2016-11-18,15311.6,15545.8,15311.6,15527.8,629165,VND
2016-11-21,15563.8,15635.8,15419.7,15527.8,921029,VND
2016-11-22,15491.7,15617.8,15491.7,15527.8,1098152,VND
2016-11-23,15599.8,15888.0,15527.8,15834.0,2154933,VND
2016-11-24,15779.9,16122.2,15779.9,15978.1,2562417,VND
2016-11-25,15996.1,15996.1,15816.0,15834.0,1209593,VND
2016-11-28,15834.0,15834.0,15563.8,15671.9,926455,VND
2016-11-29,15671.9,15671.9,15383.6,15545.8,1128881,VND
2016-11-30,15491.7,15617.8,15455.7,15617.8,656246,VND
2016-12-01,15563.8,15779.9,15563.8,15563.8,571286,VND
2016-12-02,15563.8,15617.8,15455.7,15473.7,613766,VND
2016-12-05,15491.7,15563.8,15347.6,15347.6,739843,VND
2016-12-06,15419.7,15437.7,15239.5,15239.5,940515,VND
2016-12-07,15239.5,15311.6,15167.5,15167.5,654906,VND
2016-12-08,15311.6,15311.6,15203.5,15221.5,336538,VND
2016-12-09,15329.6,15671.9,15311.6,15455.7,820601,VND
2016-12-12,15491.7,15491.7,15203.5,15203.5,859087,VND
2016-12-13,15203.5,15257.6,15059.4,15059.4,831013,VND
2016-12-14,15059.4,15203.5,15041.4,15131.5,911841,VND
2016-12-15,15131.5,15167.5,15059.4,15077.4,653244,VND
2016-12-16,15113.4,15167.5,15059.4,15167.5,689583,VND
2016-12-19,15167.5,15383.6,15167.5,15383.6,505373,VND
2016-12-20,15329.6,15455.7,15311.6,15329.6,678247,VND
2016-12-21,15329.6,15401.7,15293.6,15311.6,872154,VND
2016-12-22,15419.7,15563.8,15311.6,15329.6,1522143,VND
2016-12-23,15437.7,15437.7,15311.6,15365.6,750648,VND
2016-12-26,15365.6,15455.7,15311.6,15383.6,563182,VND
2016-12-27,15383.6,15671.9,15383.6,15545.8,1823797,VND
2016-12-28,15581.8,15779.9,15581.8,15707.9,1995448,VND
2016-12-29,15779.9,15779.9,15599.8,15653.9,868576,VND
2016-12-30,15707.9,15942.1,15617.8,15852.0,3793965,VND
2017-01-03,15960.1,16194.3,15960.1,16158.2,2338866,VND
2017-01-04,16140.2,16464.5,16104.2,16302.3,2360775,VND
2017-01-05,16284.3,16356.4,16248.3,16248.3,1417236,VND
2017-01-06,16284.3,16392.4,16194.3,16194.3,1846376,VND
2017-01-09,16230.3,16356.4,16176.2,16284.3,1158063,VND
2017-01-10,16302.3,16572.5,16266.3,16572.5,2414152,VND
2017-01-11,16680.6,16788.7,16608.6,16608.6,1710717,VND
2017-01-12,16608.6,16644.6,16518.5,16554.5,1247501,VND
2017-01-13,16608.6,16716.7,16104.2,16176.2,3786600,VND
2017-01-16,16176.2,16176.2,15852.0,15852.0,2068841,VND
2017-01-17,15852.0,16140.2,15852.0,15996.1,1203405,VND
2017-01-18,16104.2,16104.2,15779.9,15779.9,1145388,VND
2017-01-19,15779.9,15852.0,15653.9,15779.9,1360304,VND
2017-01-20,15779.9,16032.1,15761.9,15924.1,1530316,VND
2017-01-23,15996.1,16068.2,15924.1,16014.1,1056688,VND
2017-01-24,16104.2,16176.2,15960.1,16104.2,647588,VND
2017-01-25,16176.2,16320.4,16086.2,16248.3,973737,VND
2017-02-02,16284.3,16356.4,16068.2,16176.2,1125441,VND
2017-02-03,16104.2,16176.2,15996.1,16104.2,1148297,VND
2017-02-06,16032.1,16032.1,15924.1,15960.1,1278507,VND
2017-02-07,15942.1,16104.2,15942.1,16032.1,2122588,VND
2017-02-08,16068.2,16194.3,16014.1,16068.2,1341211,VND
2017-02-09,16068.2,16104.2,16032.1,16050.2,1839265,VND
2017-02-10,16032.1,16068.2,15942.1,16014.1,1420838,VND
2017-02-13,16068.2,16158.2,15996.1,16140.2,1947358,VND
2017-02-14,16212.3,16716.7,16176.2,16716.7,4484541,VND
2017-02-15,16752.7,16752.7,16500.5,16572.5,2667139,VND
2017-02-16,16572.5,16662.6,16320.4,16320.4,2574029,VND
2017-02-17,16284.3,16392.4,16176.2,16320.4,1884192,VND
2017-02-20,16320.4,16356.4,16212.3,16230.3,1708362,VND
2017-02-21,16320.4,16536.5,16230.3,16356.4,2439456,VND
2017-02-22,16464.5,16680.6,16356.4,16500.5,2841560,VND
2017-02-23,16536.5,16698.6,16446.5,16572.5,2406995,VND
2017-02-24,16572.5,16608.6,16392.4,16572.5,2145605,VND
2017-02-27,16572.5,16896.8,16572.5,16770.7,4135697,VND
2017-02-28,16788.7,16860.8,16500.5,16518.5,1819156,VND
2017-03-01,16518.5,16536.5,16338.4,16464.5,1881283,VND
2017-03-02,16464.5,16536.5,16356.4,16374.4,1443255,VND
2017-03-03,16374.4,16536.5,16266.3,16446.5,924469,VND
2017-03-06,16446.5,16608.6,16446.5,16554.5,1198419,VND
